,id,de,ch_sg,ch_be,ch_gr,ch_zh,ch_vs,ch_bs,ch_ag,ch_lu,thema,code_switching
5511,5511,Gleichgeschlechtliche Beziehungen waren unbedingt als asexuell und als nicht zu romantisch anzusehen.,,,Glichgschlechtlichi Bezüchiga sind unbedingt als asexuell und als nit zu romantisch azgseh gsi.,,,,,,random,
5512,5512,Seine sechs bis acht Millimeter dicke rotviolette Frucht ist eine Steinfrucht und besitzt vier bis sechs Samenkörner.,,,Sini sechs bis acht millimeter dicki rotvioletti Frucht isch a Steifrucht und besitzt vier bis sechs Samakörner.,,,,,,random,
5513,5513,"Die vier Protagonisten steigen unbehelligt in Melanies Wagen, Cathy nimmt die geschenkten Liebesvögel im Käfig mit.",,,"Dia vier Protagonista stigen unbehelligt in dr Melania ihra Waga, d Cathy nimmt dia gschenkta Liabesvögel im Käfig mit.",,,,,,random,
5514,5514,"Hierüber beschwerten sich die Fans, da die Geräusche der Checks an den Banden gedämpfter klangen.",,,"Dodrüber hen sich d Fans beschwert, will d Grüsch vu da Checks an da Banda dämpfter tönt hen.",,,,,,random,
5515,5515,"Da das Wagenmaterial auf dem RE sechs steter Kritik ausgesetzt war, soll es ab dem ersten Quartal zweitausendneunzehn ersetzt werden.",,,"Do ds Wagamaterial uffam RE sechs steter Kritik usgsetzt gsi isch, sölls ab am ersta Quartal zweituusignünzehn ersetzt werda.",,,,,,random,
5516,5516,"Wenig später soll Mozart seiner Frau Constanze gegenüber auch die Vermutung geäußert haben, vergiftet worden zu sein.",,,"Wenig spöter söll dr Mozart sinera Frau Constanze geganüber au d Vermuatig güsseret ha, vergiftet worda z sii.",,,,,,random,
5517,5517,In Rottenburg am Neckar unterziehen die Hexen Gäste und Einrichtungsgegenstände der Wirtshäuser einer ähnlichen Behandlung.,,,In Rottenberg am Neckar unterzüchen d Hexa Gäst und Irichtigsgegaständ vu da Wirtshüser nera ähnlicha Behandlig.,,,,,,random,
5518,5518,"Atticus nimmt die Verteidigung des Schwarzen an, auch da er sonst nie wieder seinen Kindern in die Augen blicken könne, sagt er.",,,"Dr Atticus nimmt d Verteidigung vum Schwarza ah, au will er sus nia wieder sina Kinder in d Auga blicka könn, seit er.",,,,,,random,
5519,5519,"Dazu gehört auch, dass immer mehr Erwachsene das Bilderbuch für sich entdecken und der Markt entsprechend darauf reagiert.",,,"Darzua ghört er au, dass immer meh Erwachseni ds Bilderbuach für sich entdecken und dr Markt entsprechend druf reagiart.",,,,,,random,
5520,5520,Bei Nichtbefolgung von Anweisungen durch Verdächtige waren die Grenzpolizisten zum Schusswaffengebrauch angewiesen.,,,Bi Nichtbefolgig vu Awiisiga dur Verdächtigi sind d Grenzpolizista zum Schusswaffagebruch agwiesa.,,,,,,random,
5521,5521,"Als allzu sehr auf sich fixierter Mensch wird er, offenbar sorglos am Abgrund wandelnd, zum Selbstzerstörer.",,,"Als allzu sehr uf sich fixiarta Mensch wird er, offabar sorglos am Abgrund wandelnd, zum Selbstzerstörer.",,,,,,random,
5522,5522,"Vor Gericht gestand er zwar ein, einige der Attentäter gekannt zu haben, doch konnte ihm keine Tatbeteiligung nachgewiesen werden.",,,"Vor Gricht het er zwor igestanda, einigi vu da Attatäter kennt z ha, aber ihm het kei Tatbeteiligung nohgwiesa werda könna.",,,,,,random,
5523,5523,"Währenddessen vergaß er es jedoch nicht, die Verwandten des Kaisers vom Hof fernzuhalten und ihren Einfluss zu beschneiden.",,,"Währenddessa het ers jedoch nit vergessa, dia Verwandta Kaiser vum Hof fernzhalta und ihra Ifluss z beschnieda.",,,,,,random,
5524,5524,Der Maler bindet den Narren auf mehrfache Weise als Vermittler in seine Bildaussage ein.,,,Dr Moler bindet dr Nama uf mehrfachi Wis als Vermittler in sini Bildussag ii.,,,,,,random,
5525,5525,Die Weinberge sind steil terrassiert und zur Hauptsache mit Riesling bestockt.,,,D Wiiberg sind steil terrassiart und zur Hauptsach mit Riesling bestockt.,,,,,,random,
5526,5526,"Lieber Gott, mach mich blind, dass ich alles herrlich find.",,,"Liaba Gott, mach mi blind, dass i alles herrlich find.",,,,,,random,
5527,5527,Mit William Ling pfiff auch ein Engländer das Finalspiel.,,,Mit am William Ling het au an Engländer ds Finalspiel pfiffa.,,,,,,random,
5528,5528,"Die Fernzüge hielten alle am Bahnhof Friedrichstraße, jedoch nicht zum Einsteigen für Reisende aus dem Ostteil der Stadt.",,,"D Fernzüg hen alli am Bahnhof Friedrichstross ghalta, jedoch nit zum Istiga für Reisendi ussem Ostteil vur Stadt.",,,,,,random,
5529,5529,Geyer hatte für den so ermittelten Tatzeitpunkt kein Alibi und wurde schließlich wegen Totschlags verurteilt.,,,Dr Geyer het für da so ermittleta Tatziitpunkt keis Alibi kah und isch schlussendlich weg Totschalg verurteilt worda.,,,,,,random,
5530,5530,"Am dreissigsten Dezember zweitausendsechs meldet sich Zawahiri per Video, um zum Widerstand im Irak aufzurufen.",,,"Am drissigsta Dezember zweituusigsechs meldet sich dr Zawahiri per Video, zum zum Widerstand im Irak ufzrüafa.",,,,,,random,
5531,5531,"Am neunundzwanzigsten September eintausendachthundertvierundfünfzig an Bord der Bertholet, die ihn nach Frankreich zurückbringen sollte.",,,"Am nünazwanzigsta September achtzehnvierafufzig an Bord vur Bertholet, wo ihn noch Frankrich zruckbringa sött.",,,,,,random,
5532,5532,"Entschuldige, ich kann dir dabei nicht helfen.",,,"Entschuldigung, i kann diar drbii  nit helfa.",,,,,,voice_assistant,
5533,5533,Ich bin mir nicht sicher wie ich dir dabei helfen kann.,,,I bin miar nit sicher wia i diar drbii helfa kann.,,,,,,voice_assistant,
5534,5534,"Ich verstehe das nicht, aber ich lerne jeden Tag neue Sachen.",,,"I verstohn das nit, aber i lerna jeda Tag neui Sacha.",,,,,,voice_assistant,
5535,5535,Ich bin mir nicht sicher wie ich das beantworten soll.,,,I bin miar nit sicher wia i das beantworta söll.,,,,,,voice_assistant,
5536,5536,"Es tut mir leid, ich verstehe nicht.",,,"Es tuat miar leid, i verstohn nit.",,,,,,voice_assistant,
5537,5537,"Tut mir leid, ich verstehe dich nicht.",,,"Tuat miar leid, i verstohn di nit.",,,,,,voice_assistant,
5538,5538,"Ich weiß nicht, was das bedeutet.",,,"I weiss nit, was das bedütet.",,,,,,voice_assistant,
5539,5539,"Entschuldigung, dass habe ich nicht verstanden.",,,"Entschuldigung, das hani nit verstanda.",,,,,,voice_assistant,
5540,5540,"Entschuldigung, ich verstehe nicht.",,,"Entschuldigung, i verstohn nit.",,,,,,voice_assistant,
5541,5541,Ich verstehe dich nicht.,,,I verstohn di nit.,,,,,,voice_assistant,
5542,5542,Ich glaube ich habe dich nicht verstanden.,,,I glauba i han di nit verstanda.,,,,,,voice_assistant,
5543,5543,Möglicherweise musst du das anders sagen.,,,Möglicherwiis muasch du das anders sega.,,,,,,voice_assistant,
5544,5544,Bitte formuliere deinen Befehl um.,,,Bitte formuliar de Befehl um.,,,,,,voice_assistant,
5545,5545,"Ich weiß nicht, wer das ist.",,,"I weiss nit, wer das isch.",,,,,,voice_assistant,
5546,5546,"Ich bin nicht sicher, wer das ist.",,,"I bin nit sicher, wer das isch.",,,,,,voice_assistant,
5547,5547,Ich bin mir nicht ganz sicher.,,,I bin miar nit ganz sicher.,,,,,,voice_assistant,
5548,5548,Ich bin mir nicht sicher.,,,I bin miar nit sicher.,,,,,,voice_assistant,
5549,5549,"Ich bin mir nicht sicher, aber ich gebe mein Bestes, zu lernen.",,,"I bin miar nit sicher, aber i gib mis Besta, z lerna.",,,,,,voice_assistant,
5550,5550,Ich beherrsche folgende Dialekte.,,,I beherrscha folgendi Dialekt.,,,,,,voice_assistant,
5551,5551,Ich benutze bereits den Dialekt Bündnerdeutsch.,,,I benutza schu dr Dialekt Bündnerdütsch.,,,,,,voice_assistant,
5552,5552,Bündnerdeutsch ist bereits mein aktueller dialekt.,,,Bündnerdütsch isch schu min aktuelli Dialekt.,,,,,,voice_assistant,
5553,5553,Aktueller Dialekt Bündnerdeutsch.,,,Aktuelli Dialekt Bündnerdütsch.,,,,,,voice_assistant,
5554,5554,Momentan spreche ich Bündnerdeutsch.,,,Momentan red i Bündnerdütsch.,,,,,,voice_assistant,
5555,5555,Dialekt gewechselt zu Bündnerdeutsch.,,,Dialekt gwechslet zu Bündnerdütsch.,,,,,,voice_assistant,
5556,5556,"Einen moment, ich ändere die Konfiguration.",,,"Ei Moment, i ändera d Konfiguration.",,,,,,voice_assistant,
5557,5557,Bitte warte kurz während die Konfiguration geändert wird.,,,Bitte wart kurz während d Konfiguration gänderet wird.,,,,,,voice_assistant,
5558,5558,"Einen Moment, ich wechsle den Dialekt.",,,"Ei Moment, i wechsla dr Dialekt.",,,,,,voice_assistant,
5559,5559,"Entschuldigung, ich konnte den Nachrichtenfeed aus unbekannten Gründen nicht starten.",,,"Entschuldigung, i han dr Nochrichtafeed us unbekannta Gründ nit könna starta.",,,,,,voice_assistant,
5560,5560,"Es scheint ein technisches Problem zu geben, ich konnte den Nachrichtenfeed nicht starten.",,,"Es schiint as technisches Problem z geh, i han dr Nochrichtafeed nit starta könna.",,,,,,voice_assistant,
5561,5561,Hier sind die neuesten Schlagzeilen von SRF:,,,Do sind dia neusta Schlagziila vum SRF:,,,,,,voice_assistant,
5562,5562,Hier sind die aktuellen Nachrichten aus der Region Graubünden:,,,Do sind dia aktuella Nochrichta us dr Region Graubünda.,,,,,,voice_assistant,
5563,5563,Aktuell ist es viertel ab zwei.,,,Aktuell isches viertel ab zwei.,,,,,,voice_assistant,
5564,5564,Es ist viertel ab drei.,,,Es isch viertel ab drei.,,,,,,voice_assistant,
5565,5565,Die aktuelle Uhrzeit ist viertel ab vier.,,,Dia aktuelli Uhrziit isch viertel ab vieri.,,,,,,voice_assistant,
5566,5566,Aktuell ist es viertel vor fünf.,,,Aktuell isches viertel vor füfi.,,,,,,voice_assistant,
5567,5567,Es ist viertel vor sechs.,,,Es isch viertel vor sechsi.,,,,,,voice_assistant,
5568,5568,Die aktuelle Uhrzeit ist viertel vor sieben.,,,Dia aktuelli Uhrziit isch viertel vor siebni.,,,,,,voice_assistant,
5569,5569,Aktuell ist es zehn ab zehn.,,,Aktuell isches zehn ab zehni.,,,,,,voice_assistant,
5570,5570,Es ist zwanzig ab eins.,,,Es isch zwanzig ab eins.,,,,,,voice_assistant,
5571,5571,Die aktuelle Uhrzeit ist fünf ab acht.,,,Dia aktuell Uhrzit isch füf ab achti.,,,,,,voice_assistant,
5572,5572,Jetzt ist es fünfundzwanzig ab elf.,,,Jetzt isch es füfazwanzig ab ölfi.,,,,,,voice_assistant,
5573,5573,Aktuell ist es halb neun.,,,Aktuell isches halb nüni.,,,,,,voice_assistant,
5574,5574,Die aktuelle Uhrzeit ist halb zwei.,,,Dia aktuell Uhrzit isch halb zwei.,,,,,,voice_assistant,
5575,5575,Es ist viertel vor vier.,,,Es isch viertel vor vieri.,,,,,,voice_assistant,
5576,5576,Es ist fünf vor sechs.,,,Es isch füf vor sechsi.,,,,,,voice_assistant,
5577,5577,Es ist zwölf Uhr Mittags.,,,Es isch zwölfi am Mittag.,,,,,,voice_assistant,
5578,5578,Am achtundzwanzigsten Oktober eintausendneunhundertzwanzig wurde Oh Gloria Inmarcesible durch das Gesetz dreiunddreißig über die nationalen Symbole Kolumbiens zur Nationalhymne erklärt.,,,Am achtazwanzigsta Oktober nünzehnzwanzig isch Oh Gloria Inmarcesible dur ds Gsetz dreiadrissig über dia nationala Symbol vu Kolumbia zur Nationalhymna erklärt worda.,,,,,,random,
5579,5579,"Mit den Worten Komm nach Caputh, pfeif auf die Welt lud Einstein seinen Sohn Eduard in sein hölzernes Refugium und auf sein Segelboot ein.",,,"Mit da Wort Komm nach Caputh, pfeif auf die Welt, het dr Einstein sin Sohn Eduard in sis hölzerna Refugium und uf sis Segelboot iglada.",,,,,,random,
5580,5580,"Sein erstes Album bei Trikont war Hey Staat!, bis heute eines seiner erfolgreichsten Alben.",,,"Sis ersta Album bi Trikont isch Hey Staat! gsi, bis hüt eis vu sina erfolgrichsta Alba.",,,,,,random,
5581,5581,"Man hatte die Tanzwut, um Erschöpfung und Leid zu entkommen.",,,"Ma het d Tanzwuat kah, zum vur Erschöpfig und am Leid z entkoh.",,,,,,random,
5582,5582,Ihm folgten die Erweiterung Return to Na Pali sowie zweitausenddrei ein zweiter Teil.Handlung Schauplatz von Unreal ist der Planet Na Pali.,,,Ihm hen d Erwiterig Return to Na Polia sowia zweituusigdrei an zweita Teil. Handlig Schauplatz vu Unreal isch dr Planet Na Pali.,,,,,,random,
5583,5583,Als Regisseur seiner Bühnenprogramme Hallo Eberhard!,,,Als Regisseur vu sina Bühnaprogramm Hallo Eberhard!,,,,,,random,
5584,5584,Demnach könnten Textstellen des Songs Raus aus dem Reichstag aus dem Jahr zweitausendneun als antisemitisch verstanden werden.,,,Demnoch könnten Textstella vum Song Raus aus dem Reichstag ussem Johr zweituusignün als antisemitisch verstanda werda.,,,,,,random,
5585,5585,Wrens Neubau Nach dem großen Brand übernahm der Architekt Sir Christopher Wren die Planungen für den Wiederaufbau der Stadt.,,,Neubau Wren. Nocham grossa Brand het dr Architekt Sir Christopher Wren d Planig für da Wiederufbau vur Stadt übernoh.,,,,,,random,
5586,5586,"Dies passiert nicht synchron, so dass verschiedene Teile der Wirklichkeit nicht mehr zueinander passen.",,,"Das passiart nit synchron, so dass verschiedni Teil vur Würklichkeit nüm zunanand passen.",,,,,,random,
5587,5587,Ein Jahr später erschienen die Single Du musst ein Schwein sein und das Album Schweine.,,,As Johr spöter sind d Single Du musst ein Schwein sein und ds Album Schweine erschiena.,,,,,,random,
5588,5588,Am siebenundzwanzigsten Februar zweitausenddreizehn wurde via Facebook und der offiziellen Website das Albumcover und der Titel Ich hör auf mein Herz bekannt gegeben.,,,Am siebanazwanzigsta Februar zweituusigdrizehn isch via Facebook und dr offiziella Website ds Albumcover und dr Titel Ich hör auf mein Herz bekannt geh worda.,,,,,,random,
5589,5589,Die SAG löste sich damit faktisch in die Jusos auf.,,,D SAG het sich drmit fantastisch in d Jusos ufglöst.,,,,,,random,
5590,5590,"Seit der Verlagerung der Donau nach Süden wird das Tal von der Schmiech, Ach und Blau durchflossen.",,,"Sit dr Verlagerig vur Donau noch Süda wird ds Tal vu dr Schmiech, Ach und Blau durchflossa.",,,,,,random,
5591,5591,"Schauen Sie her, Sie sind Scheiße in einem Seidenstrumpf!",,,"Luagen Sie do, Sie sind Scheisse inem Siidastrumpf!",,,,,,random,
5592,5592,"Das Gefühl, damals nichts für die Sterbende getan zu haben, hat ihn zu einem Medizinstudium bewegt.",,,"Ds Gfühl, damals nüt für dia Sterbendi tua z ha, het ihn zunem Medizinstudium bewegt.",,,,,,random,
5593,5593,"Es sind die Gesänge der Sklaven und Sträflinge, welche zu Zwangsarbeit verdammt wurden.",,,"Es sind d Gsäng vu da Sklava und Ströfling, wo zu Zwangsarbet verdammt worda sind.",,,,,,random,
5594,5594,eintausendneunhundertzweiundneunzig komponierte er für die Zeichentrickserie Als die Tiere den Wald verließen die Abspannmusik mit dem Titel Gib niemals auf.,,,"Nünzehnzweianünzig het er für d Zeichatrickserie Als die Tiere den Wald verliessen, d Abspannmusik mitel Titel Gib niemals auf komponiart.",,,,,,random,
5595,5595,"Und sieh zu, dass du alles machst nach ihrem Plan, das dir auf dem Berge gezeigt ist.",,,"Und luag, dass du alles machsch noch ihrem Plan, wo diar uffem Berg zeigt isch.",,,,,,random,
5596,5596,"Ungeklärt ist, welche Gräber davon echt und bei welchen es sich nur um Kenotaphe handelt.",,,"Unklärt isch, welli Gräber drvo echt und bi wellna es sich nur um Kenotaph handlet.",,,,,,random,
5597,5597,Er ist ein paar Mal rauf und runter gezogen worden.,,,Er isch as paar Mol uffa und aba zoga worda.,,,,,,random,
5598,5598,"Oder meinst du etwa, daß die Gefährten der Höhle und der Inschrift ein verwunderliches unter Unseren Zeichen sind?",,,"Oder meinsch öpa, dass d Gfährta vur Höhli und dr Inschrift a verwunderlichs unter Üssna Zeicha sind?",,,,,,random,
5599,5599,"zweitausendfünf drehte sie mit dem Experimentalfilmer Guy Maddin den Kurzfilm My Dad is einhundert Years Old, eine Hommage an ihren Vater Roberto Rossellini.",,,"Zweituusigfüf het sie mitem Experimentalfilmer Guy Maddin dr Kurzfilm My Day is hundred Years Old, a Hommage an ihra Vater Roberto Rossellini dreht.",,,,,,random,
5600,5600,"An dem Tag, als Arthur beschließt, einfach verrückt zu werden, taucht überraschenderweise Ford wieder auf.",,,"An dem Tag, wo dr Arthur beschlüsst, eifach verruckt z werda, taucht überraschenderwiis dr Ford wieder uf.",,,,,,random,
5601,5601,"Ein weiterer scheinbar chinesischer Name des Spiels ist Hi Lo, der unschwer die englische Wurzel High Low erkennen lässt.",,,"An witera schinbar chinesischa Nama vum spiel isch Hi Lo, wo unschwer dia englisch Wurzla High Low erkenna loht.",,,,,,random,
5602,5602,"Einmal ist jeder dran von Walter Adler und Bernd Lau, SWF.",,,"Eimol isch jeda dra vum Walter Adler und Bernd Lau, SWF.",,,,,,random,
5603,5603,Im Dezember zweitausenddrei wurde Klaus Mangold als Aufsichtsratschef von Toll Collect durch Peter Mihatsch abgelöst.,,,Im Dezember zweituusigdrei isch dr Klaus Mangol als Ufsichtsrotschef vu Toll Collect dur da Peter Mihatsch abglöst worda.,,,,,,random,
5604,5604,Anfang eintausendneunhundertfünfundfünfzig wurde die He zweihundertneunzehn zu einem Lager des Smithsonian in Silver Hill in Maryland verfrachtet.,,,Afang nünzehnfüfafufzig isch d He zweihundertnünzehn zunem Lager vum Smithsonian in Silver Hill in Maryland verfrachtet worda.,,,,,,random,
5605,5605,"Florestan den Wilden, Eusebius den Milden, Tränen und Flammen Nimm sie zusammen In mir beide Den Schmerz und die Freude.",,,"Florestan dr Wildi, Eusebius dr Mildi, Träna und Flamma. Nimm sie zemma. In miar beidi. Dr Schmerz und d Freud.",,,,,,random,
5606,5606,Beim American Folk Blues Festival eintausendneunhundertzweiundsiebzig spielte er mit Big Mama Thornton zusammen.,,,Bim American Folk Blues Festival nünzehnzweiasiebzig heter mit dr Big Mama Thornton gspielt.,,,,,,random,
5607,5607,"So stand beispielsweise RZP für Port Moresby, R für Rabaul, PS für Saipan und AH für Oʻahu.",,,"So isch RZB bispielswis für Port Moresby gstanda, R Für Rabaul, PS für Saipan und AH für O'ahu.",,,,,,random,
5608,5608,"Eos verliebte sich in ihn, worauf er aus Eifersucht von Artemis mit Pfeilen getötet wird.",,,"D Eos het sich in ihn verliabt, weg was er us Ifersucht vur Artemis mit Pfiil tötet wird.",,,,,,random,
5609,5609,Israel hoffe auf den Herrn von nun an in Ewigkeit.,,,Israel het vo jetzt ah in Ewigkeit uf da Herr ghofft.,,,,,,random,
5610,5610,"Du sitzt da und pochst auf die Bibel, du sagst deine Gebete auf … und es hat dich nicht weitergebracht!",,,"Du sitzisch do und pochsch uf d Bibla, du seisch dini Gebet uf  ...  und es het di nit witerbrocht!",,,,,,random,
5611,5611,wird sein jüngerer Bruder Mom Kaeo König des laotischen Königreichs Lan Xang.,,,Wird sin jünger Bruader Mom Kaeo König vum laotischa Königrich Lan Xang.,,,,,,random,
5612,5612,"Darin befindet sich die Karte einer Insel, auf der sich der Schatz des berüchtigten Piraten Captain Flint befinden soll.",,,"Drin befindet sich d Karta vunera Insla, uf wellera sich dr Schatz vum berüchtigta Pirat Captain Flint befinda söll.",,,,,,random,
5613,5613,Mit der Lektüre glaubst du bereits deinen Teil getan zu haben.,,,Mit dr Lektüra glaubsch du schu din Teil tua z ha.,,,,,,random,
5614,5614,"Die Leute waren so nett und anständig, sie sahen in mir keinen Kriegsgefangenen, sie sahen in mir ein menschliches Wesen.",,,"D Lüüt sind so nett und aständig gsi, sie hen in miar kein Kriagsgfangana gseh, sie hen in miar as menschlichs Wesa gseh.",,,,,,random,
5615,5615,"Die Piraten müssen jedoch enttäuscht feststellen, dass der Schatz schon vor langer Zeit gehoben wurde.",,,"D Priata müan aber enttüscht feststella, dass dr Schatz schu vor langer Ziit ghoba worda isch.",,,,,,random,
5616,5616,"Votivtafeln erzählen von Räubern und von Kriegen, von Feuersbrünsten und Kindsnöten, von Verkehrsunfällen und von wunderbarer Hilfe.",,,"Votivtafla verzellen vu Räuber und vu Kriag, vu Fürsbrünst und Kindsnöt, vu Verkehrsunfäll und vu wunderbarer Hilf.",,,,,,random,
5617,5617,"Caldecott wollte, dass die Kinder mit seinen Büchern Spaß haben, und Walter Crane wollte die Kinder unterhalten.",,,"Dr Caldecott het wella, dass d Kinder mit sina Büacher Spass hen, und dr Walter Crane het d Kinder wella unterhalta.",,,,,,random,
5618,5618,Oettinger verteidigte seine Äußerungen später und lehnte eine Entschuldigung ab.,,,Dr Oettinger het sini Üsseriga spöter verteidigt und a Entschuldigung abglehnt.,,,,,,random,
5619,5619,Ihre Freizeit verbringt Miss Maudie unter anderem mit Gartenarbeit und Kuchenbacken.,,,Ihri Freizit verbirgt d Miss Maudie unter anderem mit Gartanarbet und Kuachabacka.,,,,,,random,
5620,5620,Von eintausendneunhundertsiebenundneunzig bis zweitausendzwei war er der Präsident der TU Berlin.,,,Vu nünzehnsiebananünzig bis zweituusigzwei isch er dr Präsident vur TU Berlin gsi.,,,,,,random,
5621,5621,"Stuttgart zweitausendeins Bleib bei mir, kleiner Wolf.",,,"Stuttgart zweituusigeins. Blib bi miar, klina Wolf.",,,,,,random,
5622,5622,"Rinser lebte seit eintausendneunhundertneunundfünfzig in Rom und seit eintausendneunhundertfünfundsechzig in Rocca di Papa bei Rom, wo sie eintausendneunhundertsechsundachtzig auch zur Ehrenbürgerin ernannt wurde.",,,"D Rinser het sit nünzehnnünafufzig in Rom glebt und sit nünzehnfüfasechzig in Rocca di Papa bi Rom, wo sie nünzehnsechsadachtzig au zur Ehrabürgerin ernennt worda isch.",,,,,,random,
5623,5623,"Lasst euer Herz nicht verführt werden, weicht nicht vom Weg ab, dient nicht anderen Göttern und werft euch nicht vor ihnen nieder!",,,"Löhn eures Herz nit verfüahrt werda, wichen nit vum Weg ab, dianen nit andera Götter und wörfen eu nit vor ihna nieder!",,,,,,random,
5624,5624,nicht wiedersehen möchte.Siehe auch Klaviersonate Nr.,,,nit wiedergseh möcht. Siehe au Klaviersonata Nr.,,,,,,random,
5625,5625,Der Jack Russell Terrier Club of Australia wurde eintausendneunhundertzweiundsiebzig gegründet.,,,Dr Jack Russel Terrier Club of Australia isch nünzehnzweiasiebzig grüdnet worda.,,,,,,random,
5626,5626,"Im Symbolismus tendiert das Bild dazu, sich zu verselbstständigen und zu einem Symbol oder Ding zu werden.",,,"Im Symbolismus tendiart ds Bild drzua, sich z verselbstständiga und zunem Symbol oder Ding z werda.",,,,,,random,
5627,5627,"Emotionale Vorliebe bedeutet etwa, in wen man sich verliebt.",,,"Emotionali Vorliabi bedütet öpa, in wer ma sich verliabt.",,,,,,random,
5628,5628,"Außerdem veranstaltet der Verein in jedem Jahr verschiedene Sitzungen, auf denen seine Tanzabteilungen zeigen, was sie drauf haben.",,,"Usserdem verastaltet dr Verein in jedem Johr verschiedni Sitziga, uf wellna sini Tanzabteiliga zeigen, was sie druf hen.",,,,,,random,
5629,5629,Wenn du ein Boot brauchst kannst du meines leihen.,,,Wenn du as Boot bruchsch kasch mis uslehna.,,,,,,random,
5630,5630,"Christoph sagt von sich selber, dass er ehrlich und geschwätzig sei.",,,"Dr Christoph seit vu sich selber, dass er ehrlich und gschwätzig sig.",,,,,,random,
5631,5631,"Er ist stets schlecht gelaunt und liebt es, gerade Sven Glückspilz das Leben zur Hölle zu machen.",,,"Er isch immer schlecht glunt und liabts, grad am Sven Glückspilz ds Leba zur Höll z macha.",,,,,,random,
5632,5632,"eintausendneunhundertzweiundachtzig nahmen sie ihr erstes Album Wollt ihr Musik, oder was?",,,"Nünzehnzweiadachtzig hen sie ihres ersta Album Wollt ihr Musik, oder was? ufgnoh.",,,,,,random,
5633,5633,Masse nicht mehr gegeben und muss gegebenenfalls als zusätzliche Forderung erhoben werden.,,,Mass nüma geh und muass gegebanafalls als zuasätzlichi Forderig erhoba werda.,,,,,,random,
5634,5634,"Du kennst jetzt die Gründe, warum ich meinen Besitz in der Toskana den Villen in Tusculum, in Tivoli und in Praeneste vorziehe.",,,"Du kennsch jetzt d Gründ, warum i min Bsitz in dr Toskana da Villa in Tusculum, in Tivoli und Praeneste vorzücha.",,,,,,random,
5635,5635,"Stolz auf seine Leistungen, ist er aber voller Misstrauen in seine Menschlichkeit und ohne Glauben, dass man ihn lieben könne.",,,"Stolz uf sini Leistiga, isch er aber voller Misstraua in sini Menschlichkeit und ohni Glauba, dass ma ihn liaba könni.",,,,,,random,
5636,5636,"Während sich der Testpilot und ein Ingenieur mit Fallschirmen retten konnten, verunglückte der Copilot tödlich.",,,"Während sich dr Testpilot und an Ingenieur mit Fallschirm retta hend könna, isch dr Copilot tödlich verunglückt.",,,,,,random,
5637,5637,"Die Realität so sagen, als ob sie trotzdem nicht wär oder Die Wutausbrüche der Engel.",,,"D Realität so sega, als ob sie trotzdem nit wär oder d Wuatusbrüch vu da Engel.",,,,,,random,
5638,5638,Er ist ein guter Kumpel und zeigt auch manchmal seine sentimentale Seite.,,,Er isch an guata Kumpel und zeigt au mengmol sini sentimental Sita.,,,,,,random,
5639,5639,Nach hM finden im Übrigen die familienrechtlichen Kollisionsnormen analog auf die nichteheliche Lebensgemeinschaft Anwendung.,,,Noch hM finden im Übriga dia familiarechtlicha Kollisionsnorma analog uf dia nichtehelich Lebensgmeinschaft Awendig.,,,,,,random,
5640,5640,"Am sechzehnten Mai zweitausendzehn gab Schmitt bekannt, dass er aus privaten Gründen zum Saisonende beim KFC aufhören werde.",,,"Am sechzehnta Mai zweituusigzehn het dr Schmitt bekannt geh, dass er us privata Gründ zum Saisonend bim KFC ufhöra werdi.",,,,,,random,
5641,5641,"Da auch ausländische Wertpapiere an Wert verlieren können, liegt die Deckung in der Regel bei einhundertfünf bis einhundertzehn Prozent.",,,"Do au usländischi Wertpapier an Wert verlüra könn, liggt d Deckig in dr Regel bi hundertfüf bis hundertzehn Prozent.",,,,,,random,
5642,5642,Die vermutlich sehr aufwendigen Bewässerungsanlagen dieser Terrassengärten lassen sich leider aus den Ausgrabungen nicht klar erkennen.,,,Dia vermuatlich sehr ufwendiga Bewässerigsalaga vu denna Terrassagärta löhn sich leider us da Usgrabiga nit klar erkenna.,,,,,,random,
5643,5643,"Wie lange, Männer und Frauen, seht ihr euch das mit an?",,,"Wia lang, Männer und Fraua, luagen iar eu das mit ah?",,,,,,random,
5644,5644,"Nach Kriegsende eintausendneunhundertfünfundvierzig kehrte Sperber nach Paris zurück, wo er und Jenka heiraten konnten.",,,"Noch Kriagsend nünzehnfüfavierzig isch der Sperber noch Paris zruckkehrt, wo er und d Jenka hend könna hürota.",,,,,,random,
5645,5645,Eventuell könntest du etwas ausrechnen und publizieren.,,,Eventuell könntisch du öpis usrechna und publiziara.,,,,,,random,
5646,5646,"Anfang Mai treffen sich die nordamerikanischen Ureinwohner zum UCLA Pow Wow auf dem Intramural Field, UCLA Campus.",,,"Afang Mai treffen sich dia nordamerikanischa Uriwohner zum UCLA Pow Wow uffem Intramural Field, UCLA Campus.",,,,,,random,
5647,5647,"Solange darüber verlegen verschwiegen wird, solange hat man drüben keine Vollmacht, von deutscher Schuld zu reden.",,,"Solang drüber verlega verschwiega wird, solang het ma däna kei Vollmacht, vu dütscher Schuld z reda.",,,,,,random,
